ts_utc,event,case_code,case_category,entered_code,correct,response_time_s,keystrokes,code_length,keystroke_efficiency,time_remaining_s,time_limit_s,stability,score
2026-04-22T07:36:04Z,case_start,K52.9,Gastroenterology,,0,0,0,5,0.000,30,30,100,0
2026-04-22T07:36:15Z,submit,K52.9,Gastroenterology,E11.65,0,11,0,5,0.000,19,30,58,-25
2026-04-22T07:36:34Z,game_over:timeout,K52.9,Gastroenterology,,0,0,0,0,0.000,0,0,20,-25
2026-04-22T07:36:34Z,log_saved,,,/Users/datah/Desktop/2026/compro2/ICD10_Code/data/game_logs/session_20260422_143634.csv,0,0,0,0,0.000,0,30,20,-25
2026-04-22T07:36:42Z,log_saved,,,/Users/datah/Desktop/2026/compro2/ICD10_Code/data/game_logs/session_20260422_143642.csv,0,0,0,0,0.000,0,30,20,-25
2026-04-22T07:36:45Z,log_saved,,,/Users/datah/Desktop/2026/compro2/ICD10_Code/data/game_logs/session_20260422_143645.csv,0,0,0,0,0.000,0,30,20,-25
2026-04-22T07:38:51Z,case_start,K56.609,Gastroenterology,,0,0,0,7,0.000,30,30,100,0
2026-04-22T07:38:53Z,submit,K56.609,Gastroenterology,I63.9,0,1,0,7,0.000,28,30,76,-25
2026-04-22T07:38:53Z,submit,K56.609,Gastroenterology,I63.9,0,2,0,7,0.000,27,30,54,-50
2026-04-22T07:38:58Z,submit,K56.609,Gastroenterology,R06.02,0,7,0,7,0.000,22,30,24,-75
2026-04-22T07:39:01Z,submit,K56.609,Gastroenterology,J30.9,0,9,0,7,0.000,20,30,0,-100
2026-04-22T07:39:01Z,game_over:stability,K56.609,Gastroenterology,,0,0,0,0,0.000,20,0,0,-100
