ts_utc,event,case_code,case_category,entered_code,correct,response_time_s,keystrokes,code_length,keystroke_efficiency,time_remaining_s,time_limit_s,stability,score
2026-04-22T07:28:58Z,case_start,E03.9,Endocrinology,,0,0,0,5,0.000,30,30,100,0
2026-04-22T07:29:02Z,game_over:ended,E03.9,Endocrinology,,0,0,0,0,0.000,26,0,92,0
2026-04-22T07:29:02Z,log_saved,,,/Users/datah/Desktop/2026/compro2/ICD10_Code/data/game_logs/session_20260422_142902.csv,0,0,0,0,0.000,26,30,92,0
2026-04-22T07:29:10Z,case_start,E03.9,Endocrinology,,0,0,0,5,0.000,30,30,100,0
2026-04-22T07:29:12Z,game_over:ended,E03.9,Endocrinology,,0,0,0,0,0.000,29,0,98,0
2026-04-22T07:29:12Z,log_saved,,,/Users/datah/Desktop/2026/compro2/ICD10_Code/data/game_logs/session_20260422_142912.csv,0,0,0,0,0.000,29,30,98,0
2026-04-22T07:29:14Z,case_start,G20,Neurology,,0,0,0,3,0.000,30,30,100,0
2026-04-22T07:29:16Z,game_over:ended,G20,Neurology,,0,0,0,0,0.000,28,0,96,0
2026-04-22T07:29:16Z,log_saved,,,/Users/datah/Desktop/2026/compro2/ICD10_Code/data/game_logs/session_20260422_142916.csv,0,0,0,0,0.000,28,30,96,0
2026-04-22T07:29:24Z,case_start,I21.9,Cardiology,,0,0,0,5,0.000,30,30,100,0
2026-04-22T07:29:26Z,game_over:ended,I21.9,Cardiology,,0,0,0,0,0.000,28,0,96,0
