ts_utc,event,case_code,case_category,entered_code,correct,response_time_s,keystrokes,code_length,keystroke_efficiency,time_remaining_s,time_limit_s,stability,score
2026-04-22T06:52:30Z,case_start,K80.20,Gastroenterology,,0,0,0,0,0.000,30,0,100,0
2026-04-22T06:53:00Z,game_over:timeout,K80.20,Gastroenterology,,0,0,0,0,0.000,0,0,40,0
2026-04-22T06:53:00Z,log_saved,,,/Users/datah/Desktop/2026/compro2/Project_ICD10/data/game_logs/session_20260422_135300.csv,0,0,0,0,0.000,0,0,40,0
2026-04-22T06:53:07Z,case_start,E05.90,Endocrinology,,0,0,0,0,0.000,30,0,100,0
2026-04-22T06:53:28Z,submit,E05.90,Endocrinology,D64.8,0,0,0,0,0.000,10,0,40,-25
2026-04-22T06:53:33Z,game_over:ended,E05.90,Endocrinology,,0,0,0,0,0.000,5,0,30,-25
2026-04-22T06:53:33Z,log_saved,,,/Users/datah/Desktop/2026/compro2/Project_ICD10/data/game_logs/session_20260422_135333.csv,0,0,0,0,0.000,5,0,30,-25
2026-04-22T06:53:38Z,case_start,K52.9,Gastroenterology,,0,0,0,0,0.000,30,0,100,0
2026-04-22T06:54:09Z,game_over:timeout,K52.9,Gastroenterology,,0,0,0,0,0.000,0,0,40,0
2026-04-22T06:54:09Z,log_saved,,,/Users/datah/Desktop/2026/compro2/Project_ICD10/data/game_logs/session_20260422_135409.csv,0,0,0,0,0.000,0,0,40,0
2026-04-22T06:54:17Z,case_start,I63.9,Neurology,,0,0,0,0,0.000,30,0,100,0
2026-04-22T06:54:40Z,submit,I63.9,Neurology,G20,0,0,0,0,0.000,8,0,36,-25
2026-04-22T06:54:47Z,game_over:timeout,I63.9,Neurology,,0,0,0,0,0.000,0,0,20,-25
2026-04-22T06:54:47Z,log_saved,,,/Users/datah/Desktop/2026/compro2/Project_ICD10/data/game_logs/session_20260422_135447.csv,0,0,0,0,0.000,0,0,20,-25
2026-04-22T06:55:00Z,case_start,J96.00,Respiratory,,0,0,0,0,0.000,30,0,100,0
2026-04-22T06:55:27Z,game_over:ended,J96.00,Respiratory,,0,0,0,0,0.000,4,0,48,0
